,CH1,CH3,CH4
Second,Volt,Volt,Volt
-1.35705e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.35559e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.35412e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.35266e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.35119e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.34973e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.34826e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.34680e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.34533e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.34387e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.34240e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.34094e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.33947e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.33801e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.33654e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.33508e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.33361e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.33215e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.33068e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.32922e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.32775e-01,2.60e-01,-1.20e+00,3.04e-01, 
-1.32629e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.32482e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.32336e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.32189e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.32043e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.31896e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.31750e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.31604e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.31457e-01,2.60e-01,-8.00e-01,3.04e-01, 
-1.31311e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.31164e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.31018e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.30871e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.30725e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.30578e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.30432e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.30285e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.30139e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.29992e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.29846e-01,2.60e-01,-1.20e+00,3.05e-01, 
-1.29699e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.29553e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.29406e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.29260e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.29113e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.28967e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.28820e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.28674e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.28527e-01,2.60e-01,-8.00e-01,3.06e-01, 
-1.28381e-01,2.60e-01,-8.00e-01,3.06e-01, 
-1.28234e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.28088e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.27941e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.27795e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.27648e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.27502e-01,2.60e-01,-8.00e-01,3.05e-01, 
-1.27356e-01,2.60e-01,-8.00e-01,3.06e-01, 
-1.27209e-01,2.60e-01,-8.00e-01,3.06e-01, 
-1.27062e-01,2.60e-01,-1.20e+00,3.06e-01, 
-1.26916e-01,2.60e-01,-8.00e-01,3.06e-01, 
-1.26770e-01,2.60e-01,-8.00e-01,3.06e-01, 
