,CH1,CH2,CH3,CH4
Second,Volt,Volt,Volt,Volt
3.54980e-01,-3.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55000e-01,-3.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55020e-01,-3.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55040e-01,-3.36e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55060e-01,-3.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55080e-01,-3.28e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55100e-01,-3.52e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55120e-01,-3.52e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55140e-01,-3.52e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55160e-01,-3.28e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55180e-01,-3.52e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55200e-01,-3.60e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55220e-01,-3.52e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55240e-01,-3.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55260e-01,-3.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55280e-01,-3.84e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55300e-01,-3.92e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55320e-01,-3.76e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55340e-01,-4.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55360e-01,-4.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55380e-01,-4.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55400e-01,-4.16e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55420e-01,-4.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55440e-01,-4.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55460e-01,-4.40e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55480e-01,-4.48e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55500e-01,-4.48e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55520e-01,-4.64e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55540e-01,-4.56e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55560e-01,-4.48e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55580e-01,-4.72e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55600e-01,-4.72e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55620e-01,-4.80e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55640e-01,-4.64e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55660e-01,-4.80e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55680e-01,-4.64e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55700e-01,-4.96e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55720e-01,-4.80e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55740e-01,-5.04e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55760e-01,-5.12e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55780e-01,-5.12e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55800e-01,-5.28e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55820e-01,-5.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55840e-01,-5.20e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55860e-01,-5.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55880e-01,-5.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55900e-01,-5.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55920e-01,-5.44e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55940e-01,-5.60e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55960e-01,-5.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.55980e-01,-5.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56000e-01,-5.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56020e-01,-5.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56040e-01,-5.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56060e-01,-5.68e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56080e-01,-5.76e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56100e-01,-5.84e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56120e-01,-5.84e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56140e-01,-6.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56160e-01,-6.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56180e-01,-6.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56200e-01,-5.92e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56220e-01,-6.08e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56240e-01,-6.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56260e-01,-6.16e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56280e-01,-6.00e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56300e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56320e-01,-6.16e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56340e-01,-6.16e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56360e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56380e-01,-6.16e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56400e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56420e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56440e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56460e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56480e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56500e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56520e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56540e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56560e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56580e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56600e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
3.56620e-01,-6.24e-02,2.14e-01,3.11e-01,-2.64e+00, 
